file,valid,meshes,materials,images,textures,skins,animations,all_tri_primitives_have_normals,all_tri_primitives_have_uv0,bytes
01_runtime_3d/models_pbr_v10/workstation/CHAIR_EXECUTIVE_HIGHBACK_001.glb,True,30,4,12,12,0,0,True,True,617216
01_runtime_3d/models_pbr_v10/workstation/CHAIR_GUEST_ARM_001.glb,True,6,2,6,6,0,0,True,True,527696
01_runtime_3d/models_pbr_v10/workstation/CHAIR_STOOL_BAR_001.glb,True,4,2,6,6,0,0,True,True,380984
01_runtime_3d/models_pbr_v10/workstation/CHAIR_TASK_BLACK_HERO_001.glb,True,18,4,12,12,0,0,True,True,602544
01_runtime_3d/models_pbr_v10/workstation/DESK_BENCH_2P_001.glb,True,8,4,12,12,0,0,True,True,1122524
01_runtime_3d/models_pbr_v10/workstation/DESK_BENCH_4P_HERO_001.glb,True,13,6,18,18,0,0,True,True,1419848
01_runtime_3d/models_pbr_v10/workstation/DESK_L_CORNER_001.glb,True,7,3,9,9,0,0,True,True,783232
01_runtime_3d/models_pbr_v10/workstation/DESK_STANDARD_001.glb,True,8,5,15,15,0,0,True,True,1146648
01_runtime_3d/scenes_pbr_v10/SCENE_ACME_HQ_HERO_V3_001.glb,True,1088,40,113,113,0,0,True,True,9517384
01_runtime_3d/scenes_pbr_v10/SCENE_ACME_HQ_HERO_V4_001.glb,True,1689,32,114,114,0,0,True,True,22452952
01_runtime_3d/scenes_pbr_v10/SCENE_ASSET_GALLERY_HERO_V3_001.glb,True,224,30,83,83,0,0,True,True,5736208
01_runtime_3d/scenes_pbr_v10/SCENE_ASSET_GALLERY_HERO_V4_001.glb,True,371,24,106,106,0,0,True,True,10738796
01_runtime_3d/scenes_pbr_v10/SCENE_VERTICAL_SLICE_HERO_V3_001.glb,True,1088,40,113,113,0,0,True,True,9517384
01_runtime_3d/scenes_pbr_v10/SCENE_VERTICAL_SLICE_HERO_V4_001.glb,True,276,23,100,100,0,0,True,True,9152760
